type	location	latitude	longitude
country	Angola	-11.2027	17.8739
country	Botswana	-22.3285	24.6849
country	Burkina Faso	12.2383	-1.5616
country	Burundi	-3.3731	29.9189
country	Central African Republic	6.6111	20.9394
country	Chad	15.4542	18.7322
country	China	35.8617	104.1954
country	Egypt	26.8206	30.8025
country	Gabon	-0.8037	11.6094
country	Guinea	9.9456	-9.6966
country	Kenya	0.0236	37.9062
country	Madagascar	-18.7669	46.8691
country	Mali	17.5707	-3.9962
country	Mauritania	21.0079	-10.9408
country	Mayotte	-12.8275	45.1662
country	Mozambique	-18.6657	35.5296
country	Namibia	-22.9576	18.4904
country	Niger	17.6078	8.0817
country	Nigeria	9.0820	8.6753
country	Russia	61.5240	105.3188
country	Rwanda	-1.9403	29.8739
country	Saudi Arabia	23.8859	45.0792
country	Senegal	14.4974	-14.4524
country	Somalia	5.1521	46.1996
country	South Africa	-30.5595	22.9375
country	Spain	40.4637	-3.7492
country	Sudan	12.8628	30.2176
country	Tanzania	-6.3690	34.8888
country	Uganda	1.3733	32.2903
country	USA	39.8283	-98.5795
country	Zambia	-13.1339	27.8493
country	Zimbabwe	-19.0154	29.1549
