Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
JF326194.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000323	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Tanzania	Tanzania		Homo sapiens		Feb-2007			Rift Valley fever virus strain 2007000323 segment M, complete sequence	2007-02	Tanzania	2007000323	rvf	JF326194.1	-6.369	34.8888	m
KY126713.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment M, complete sequence	1981	South Africa	Ar20364	rvf	KY126713.1	-30.5595	22.9375	m
KX632067.1	Rift Valley fever virus	GenBank			Zhang,J.W., Shi,Y.X., Zheng,K., Huang,J.C., Xu,X., Li,X.B., Dai,J., Li,S.F., Zhong,Y.Q., Li,L.Q., Lu,H.R., Ma,J.M., Li,W.S., Yu,J.Y., Hong,R.S., Lu,L.H., Ji,J.K., Peng,S.Q., Mai,G.Q., Huang,Y.T., Qiu,J.J., Li,J.D., Liu,X., Chen,Y.Y., Zhang,X.G., Zhang,J.M., Jin,X., Huang,J.H., Sun,F.J., Wang,Z. and Zhu,Z.Y.	Inspection and Quarantine Technology Centre, Guangdong Entry-Exit Inspection and Quarantine Bureau, General Administration of Quality Supevision, Inspection and Quarantine of the People's Republic of China, No. 8, Madian Road, Haidian District, Beijing 100088, China		27-AUG-2016	BJ01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3872	complete		M		Angola	Angola		Homo sapiens	blood	22-Jul-2016			Rift Valley fever virus isolate BJ01 segment M, complete sequence	2016-07-22	Angola	BJ01	rvf	KX632067.1	-11.2027	17.8739	m
JF326195.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000324	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Tanzania	Tanzania		Homo sapiens		Feb-2007			Rift Valley fever virus strain 2007000324 segment M, complete sequence	2007-02	Tanzania	2007000324	rvf	JF326195.1	-6.369	34.8888	m
JF311384.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803169	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Madagascar: Antsirabe	Madagascar		bovine		Feb-2008			Rift Valley fever virus strain 200803169 segment M, complete sequence	2008-02	Madagascar	200803169	rvf	JF311384.1	-18.7669	46.8691	m
EU574032.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007004193	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Nairobi district	Kenya		bovine		23-Apr-2007			Rift Valley fever virus strain 2007004193 segment M, complete sequence	2007-04-23	Kenya	2007004193	rvf	EU574032.1	0.0236	37.9062	m
DQ380188.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	763/70	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1970			Rift Valley fever virus strain 763/70 segment M, complete sequence	1970	Zimbabwe	763/70	rvf	DQ380188.1	-19.0154	29.1549	m
MG972973.1	Rift Valley fever virus	GenBank			Whitmer,S.L.M., Zufan,S.E., Stroeher,U., Nichol,S.T. and Klena,J.D.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		05-MAR-2020	201707024	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3852	complete		M		Uganda	Uganda		Homo sapiens		21-Nov-2017			Rift Valley fever virus strain 201707024 segment M, complete sequence	2017-11-21	Uganda	201707024	rvf	MG972973.1	1.3733	32.2903	m
KY126706.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU142/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate SPU142/08 segment M, complete sequence	2008	South Africa	SPU142/08	rvf	KY126706.1	-30.5595	22.9375	m
MG659790.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1167/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1167/10 segment M, complete sequence	2010	South Africa	SA1167/10	rvf	MG659790.1	-30.5595	22.9375	m
