Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
KY126680.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		African buffalo		2008			Rift Valley fever virus isolate J40/6 segment L, complete sequence	2008	South Africa	J40/6	rvf	KY126680.1	-30.5595	22.9375	l
MG659853.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA395/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA395/10 segment L, complete sequence	2010	South Africa	SA395/10	rvf	MG659853.1	-30.5595	22.9375	l
KY126675.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1796/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1796/10 segment L, complete sequence	2010	South Africa	SA1796/10	rvf	KY126675.1	-30.5595	22.9375	l
MG659888.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1601/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1601/10 segment L, complete sequence	2010	South Africa	SA1601/10	rvf	MG659888.1	-30.5595	22.9375	l
PV231439.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,L., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.E.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_BOV/2014/1894_S3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1071	complete		L		Botswana	Botswana		bovine		2014			Rift Valley fever virus isolate BOT_BOV/2014/1894_S3 segment L, complete sequence	2014	Botswana	BOT_BOV/2014/1894_S3	rvf	PV231439.1	-22.3285	24.6849	l
MG659870.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA746/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA746/10 segment L, complete sequence	2010	South Africa	SA746/10	rvf	MG659870.1	-30.5595	22.9375	l
MG659850.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA344/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA344/10 segment L, complete sequence	2010	South Africa	SA344/10	rvf	MG659850.1	-30.5595	22.9375	l
MG649050.1	Rift Valley fever virus	GenBank			Bi,Y., Gary,W., Wang,B., Li,L. and Zeng,H.	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Center for Influenza Research and Early-warning (CASCIRE), Chinese Academy of Sciences, No. 1 West Beichen Road, Beijing 100101, China		30-DEC-2018	RVFV-BJ01-Sera-6d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6395	complete		L		China: Beijing	China		Homo sapiens	serum	21-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-6d/2016 segment L, complete sequence	2016-06-21	China	RVFV-BJ01-Sera-6d/2016	rvf	MG649050.1	35.8617	104.1954	l
JF326188.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000260	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya	Kenya		mosquito		31-Dec-2006			Rift Valley fever virus strain 2007000260 segment L, complete sequence	2006-12-31	Kenya	2007000260	rvf	JF326188.1	0.0236	37.9062	l
MG659860.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA509/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA509/10 segment L, complete sequence	2010	South Africa	SA509/10	rvf	MG659860.1	-30.5595	22.9375	l
