Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
GQ443196.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0851-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar	Madagascar		Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0851-08 segment L polymerase gene, partial cds	2008-03-23	Madagascar	0851-08	rvf	GQ443196.1	-18.7669	46.8691
Y12749.1	Rift Valley fever virus	GenBank			Prehaud,C.J.N.	C.J.N. Prehaud, Institut Pasteur, Laboratoire des Bunyavirides, 75724 Paris Cedex 15, 75724, FRANCE		25-JUL-2016	H D47408	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	602	partial												Rift valley fever virus NSs gene, partial, strain H D47408			H D47408	rvf	Y12749.1		
KY126680.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		African buffalo		2008			Rift Valley fever virus isolate J40/6 segment L, complete sequence	2008	South Africa	J40/6	rvf	KY126680.1	-30.5595	22.9375
PP746307.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P103	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		L		Rwanda	Rwanda		Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P103 polymerase gene, partial cds	2022-08-08	Rwanda	Rwanda2022P103	rvf	PP746307.1	-1.9403	29.8739
MG659853.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA395/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA395/10 segment L, complete sequence	2010	South Africa	SA395/10	rvf	MG659853.1	-30.5595	22.9375
PP746443.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	KEM-JC	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1663	partial		S		Kenya: Kilifi	Kenya		Homo sapiens		01-Jan-2007			Rift Valley fever virus strain KEM-JC nonstructural protein and nucleocapsid genes, complete cds	2007-01-01	Kenya	KEM-JC	rvf	PP746443.1	0.0236	37.9062
KY126675.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1796/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1796/10 segment L, complete sequence	2010	South Africa	SA1796/10	rvf	KY126675.1	-30.5595	22.9375
MW717937.1	Rift Valley fever virus	GenBank			Said,O.S., Hussein,H.A. and El-Deeb,A.H.	Virology, Faculty of Veterinary Medicine, Cairo University, Gamal el den Afifi st -Giza Square, Giza, Cairo 12211, Egypt		22-FEB-2022	EGY-Bat-1/20	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	513	partial		M		Egypt	Egypt		bat	liver	11-Dec-2019			Rift Valley fever virus strain EGY-Bat-1/20 Gn protein gene, partial cds	2019-12-11	Egypt	EGY-Bat-1/20	rvf	MW717937.1	26.8206	30.8025
HM586977.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/Kil-006/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	partial		S		Kenya	Kenya				05-Jan-2007			Rift Valley fever virus strain KEN/Kil-006/07 non-structural protein (NSs) and nucleocapsid protein (NP) genes, complete cds	2007-01-05	Kenya	KEN/Kil-006/07	rvf	HM586977.1	0.0236	37.9062
JN995322.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	M30_ARMcx_MR_AA_1999	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	718	partial				Mauritania: Ayoun El Atross	Mauritania		Culex poicilipes		1999			Rift Valley fever virus strain M30_ARMcx_MR_AA_1999 glycoprotein gene, partial cds	1999	Mauritania	M30_ARMcx_MR_AA_1999	rvf	JN995322.1	21.0079	-10.9408
KY196498.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA354/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA354/11 segment S, complete sequence	2011	South Africa	SA354/11	rvf	KY196498.1	-30.5595	22.9375
EU312126.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU12002SOM98	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Somalia	Somalia		caprine		1998			Rift Valley fever virus strain SPU12002SOM98 segment S, complete sequence	1998	Somalia	SPU12002SOM98	rvf	EU312126.1	5.1521	46.1996
MG659888.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1601/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1601/10 segment L, complete sequence	2010	South Africa	SA1601/10	rvf	MG659888.1	-30.5595	22.9375
KX944847.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M84/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3876	partial		M		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate M84/08 glycoprotein gene, complete cds	2008	South Africa	M84/08	rvf	KX944847.1	-30.5595	22.9375
KX944864.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M39/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L		South Africa	South Africa		Buffalo		2008			Rift Valley fever virus isolate M39/08 segment L polymerase gene, complete cds	2008	South Africa	M39/08	rvf	KX944864.1	-30.5595	22.9375
