Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
KY196498.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA354/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA354/11 segment S, complete sequence	2011	South Africa	SA354/11	rvf	KY196498.1	-30.5595	22.9375	s
EU312126.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU12002SOM98	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Somalia	Somalia		caprine		1998			Rift Valley fever virus strain SPU12002SOM98 segment S, complete sequence	1998	Somalia	SPU12002SOM98	rvf	EU312126.1	5.1521	46.1996	s
JF311388.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803164	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar: Ankazobe	Madagascar		Homo sapiens		Mar-2008			Rift Valley fever virus strain 200803164 segment S, complete sequence	2008-03	Madagascar	200803164	rvf	JF311388.1	-18.7669	46.8691	s
KY196510.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment S, complete sequence	1981	South Africa	Ar20364	rvf	KY196510.1	-30.5595	22.9375	s
MG972974.1	Rift Valley fever virus	GenBank			Whitmer,S.L.M., Zufan,S.E., Stroeher,U., Nichol,S.T. and Klena,J.D.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		05-MAR-2020	201707024	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1644	complete		S		Uganda	Uganda		Homo sapiens		21-Nov-2017			Rift Valley fever virus strain 201707024 segment S, complete sequence	2017-11-21	Uganda	201707024	rvf	MG972974.1	1.3733	32.2903	s
EU312146.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU10307KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU10307KEN07 segment S, complete sequence	2007	Kenya	SPU10307KEN07	rvf	EU312146.1	0.0236	37.9062	s
DQ380172.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	73HB1230	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Central African Republic	Central African Republic		Homo sapiens	human sera	1973			Rift Valley fever virus strain 73HB1230 segment S, complete sequence	1973	Central African Republic	73HB1230	rvf	DQ380172.1	6.6111	20.9394	s
JF311390.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803166	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar: Antananarivo	Madagascar		Homo sapiens		Feb-1991			Rift Valley fever virus strain 200803166 segment S, complete sequence	1991-02	Madagascar	200803166	rvf	JF311390.1	-18.7669	46.8691	s
MG659973.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1518/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1692	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1518/10 segment S, complete sequence	2010	South Africa	SA1518/10	rvf	MG659973.1	-30.5595	22.9375	s
EU312123.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU45ZAMB85	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zambia	Zambia		Homo sapiens		1985			Rift Valley fever virus strain SPU45ZAMB85 segment S, complete sequence	1985	Zambia	SPU45ZAMB85	rvf	EU312123.1	-13.1339	27.8493	s
KY196493.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA573/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA573/10 segment S, complete sequence	2010	South Africa	SA573/10	rvf	KY196493.1	-30.5595	22.9375	s
KY196490.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA184/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA184/10 segment S, complete sequence	2010	South Africa	SA184/10	rvf	KY196490.1	-30.5595	22.9375	s
OR805807.1	Rift Valley fever virus	GenBank			Chabert,M., Vattipally,S., Nomikou,K., da Silva Filipe,A., Lacote,S., Marianneau,P., Cetre-Sossah,C., Arnaud,F. and Ratinier,M.	IVPC UMR754, EPHE - PSL, INRAE, Universite Claude Bernard Lyon1, 50 Avenue Tony Garnier, Lyon 69007, France		30-MAY-2024	ZH548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Egypt	Egypt		Homo sapiens	serum	1977			Rift Valley fever virus strain ZH548 segment S, complete sequence	1977	Egypt	ZH548	rvf	OR805807.1	26.8206	30.8025	s
KY196507.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Aedes circumluteolus		1955			Rift Valley fever virus isolate Ar74 segment S, complete sequence	1955	South Africa	Ar74	rvf	KY196507.1	-30.5595	22.9375	s
KY196501.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU77/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S		South Africa	South Africa		African buffalo		2008			Rift Valley fever virus isolate SPU77/08 segment S, complete sequence	2008	South Africa	SPU77/08	rvf	KY196501.1	-30.5595	22.9375	s
OM744374.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-372	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-372 segment S, complete sequence	2021-07-15	Kenya	DVS-372	rvf	OM744374.1	0.0236	37.9062	s
MG659948.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA538/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA538/10 segment S, complete sequence	2010	South Africa	SA538/10	rvf	MG659948.1	-30.5595	22.9375	s
MG659910.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA76/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA76/10 segment S, complete sequence	2010	South Africa	SA76/10	rvf	MG659910.1	-30.5595	22.9375	s
