Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
GQ443183.1	Rift Valley fever virus	GenBank						25-JUL-2016	0449-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	26-Feb-2008			Rift Valley fever virus strain 0449-08 segment L polymerase gene, partial cds	2008-02-26		0449-08	rvf		
OR780621.1	Rift Valley fever virus	GenBank						06-DEC-2023	BDI0006	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3571	partial		M					Bos taurus		19-May-2022			Rift Valley fever virus isolate BDI0006 glycoprotein gene, partial cds	2022-05-19		BDI0006	rvf		
MG972972.1	Rift Valley fever virus	GenBank						05-MAR-2020	201707024	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6321	complete		L					Homo sapiens		21-Nov-2017			Rift Valley fever virus strain 201707024 segment L, complete sequence	2017-11-21		201707024	rvf		
ON060822.1	Rift Valley fever virus	GenBank						25-MAR-2023	2020000148_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6222	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 2020000148_L|Uganda RNA-dependent RNA polymerase gene, partial cds	2018	Uganda	2020000148_L|Uganda	rvf	1.3733	32.2903
MG897466.1	Phlebovirus riftense	GenBank						25-NOV-2018	Niger 2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	604	partial		unknown			Niger		Homo sapiens	serum	2016			Phlebovirus riftense strain Niger 2 glycoprotein gene, partial cds	2016	Niger	Niger 2	rvf	17.6078	8.0817
KY126703.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU77/04	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2004			Rift Valley fever virus isolate SPU77/04 segment M, complete sequence	2004		SPU77/04	rvf		
PG403397.1	synthetic construct	GenBank						28-FEB-2025					other DNA	17	partial		unknown										JP 2023543101-A/6: ATTENUATED VARIANT OF THE RIFT VALLEY FEVER VIRUS, COMPOSITION COMPRISING SAME, AND USES THEREOF			PG403397.1	rvf		
PP746315.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P23	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6243	partial		L					Bos taurus		2022-06-13			Rift Valley fever virus strain Rwanda2022P23 polymerase gene, partial cds	2022-06-13		Rwanda2022P23	rvf		
KY126679.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU77/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					African buffalo		2008			Rift Valley fever virus isolate SPU77/08 segment L, complete sequence	2008		SPU77/08	rvf		
MG659733.1	Rift Valley fever virus	GenBank						13-NOV-2020	Ar 118	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Aedes circumluteolus (mosquito)		1955			Rift Valley fever virus isolate Ar 118 segment M, complete sequence	1955		Ar 118	rvf		
KX944819.1	Rift Valley fever virus	GenBank						25-OCT-2018	M47/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	partial		S					bovine		2008			Rift Valley fever virus isolate M47/08 nonstructural protein and nucleocapsid protein genes, complete cds	2008		M47/08	rvf		
